system,candidate,metric,n,mean,std,cv_pct,median,p95,p99,max
sequential,Marcus,duration_ns,5000,2566095.84,211973.62523260587,8.260549817679681,2550700.0,2919730.0,3111090.000000002,4374400.0
sequential,Marcus,cpu_cycles,5000,25665.018,2119.938136176677,8.260029804680741,25511.0,29203.25,31115.92000000002,43749.0
sequential,Marcus,heap_allocs,5000,77.0352,0.299297303320887,0.38852018729215604,77.0,77.0,79.0,82.0
sequential,Marcus,heap_bytes,5000,29857.4016,279.4888375579674,0.936078903657736,29824.0,29824.0,32136.0,33000.0
sequential,Trey,duration_ns,5000,2561524.98,208009.72848265604,8.12054264966239,2547950.0,2908010.0,3122574.0000000014,4330700.0
sequential,Trey,cpu_cycles,5000,25619.4032,2080.3405404843306,8.120175650634714,25484.0,29083.2,31229.750000000015,43312.0
sequential,Trey,heap_allocs,5000,77.0284,0.27056992001389085,0.351259950893295,77.0,77.0,79.0,82.0
sequential,Trey,heap_bytes,5000,29850.8768,248.34028469251666,0.8319363158288091,29824.0,29824.0,32136.0,32992.0
sequential,Will,duration_ns,5000,2557241.7,234642.76302574956,9.175619302068691,2532050.0,2911205.0,3160625.000000005,9420600.0
sequential,Will,cpu_cycles,5000,25576.662,2346.681214801188,9.17508787816482,25323.5,29118.0,31612.24000000005,94211.0
sequential,Will,heap_allocs,5000,77.0258,0.24483943569174874,0.31786678709179095,77.0,77.0,79.0,82.0
sequential,Will,heap_bytes,5000,29849.4192,241.16167867721535,0.8079275414417959,29824.0,29824.0,32136.0,32992.0
sequential,George,duration_ns,5000,2565937.78,211871.54325401929,8.25708031213521,2551800.0,2919810.0,3121122.0000000005,4794800.0
sequential,George,cpu_cycles,5000,25663.5834,2118.9767957145245,8.256745609868824,25521.5,29202.1,31216.220000000005,47952.0
sequential,George,heap_allocs,5000,77.0318,0.27713556398298084,0.35976773745775226,77.0,77.0,79.0,84.0
sequential,George,heap_bytes,5000,29856.032,271.2899412481865,0.9086604048662144,29824.0,29824.0,32136.0,33168.0
sequential,Jess,duration_ns,5000,2559233.34,208097.99229527387,8.131262946710201,2545350.0,2898520.0,3088508.0,4338800.0
sequential,Jess,cpu_cycles,5000,25596.421,2081.201088254797,8.130828478929915,25457.0,28989.15,30889.07,43392.0
sequential,Jess,heap_allocs,5000,77.0228,0.23471510014408348,0.3047345722877946,77.0,77.0,79.0,83.0
sequential,Jess,heap_bytes,5000,29846.1504,224.536628458129,0.752313532729933,29824.0,29824.0,30000.0,32992.0
parallel,Marcus,duration_ns,5000,2711810.92,435157.0812175994,16.046733863642654,2547200.0,3580560.0,4037908.0,5342100.0
parallel,Marcus,cpu_cycles,5000,27124.752,4353.862664912271,16.051253353071285,25476.5,35820.3,40383.08,53426.0
parallel,Trey,duration_ns,5000,2706620.54,428049.88255634374,15.814920349209489,2538400.0,3550520.000000001,4037703.0,5420400.0
parallel,Trey,cpu_cycles,5000,27072.9576,4282.737585896219,15.819245348709957,25389.5,35509.20000000001,40383.47000000001,54208.0
parallel,Will,duration_ns,5000,2714320.52,426872.25735077786,15.72667097365413,2553350.0,3563035.0,4022298.000000004,5121600.0
parallel,Will,cpu_cycles,5000,27153.2714,4272.150203213108,15.733464083495694,25555.5,35642.3,40225.000000000044,51219.0
parallel,George,duration_ns,5000,2699664.82,423029.01854893414,15.66968667424922,2537350.0,3529460.0,3959126.000000003,5522500.0
parallel,George,cpu_cycles,5000,27004.3918,4234.603339178393,15.681165384285356,25376.5,35298.55,39718.69000000002,55228.0
parallel,Jess,duration_ns,5000,2717109.08,429238.14779101056,15.797604555169736,2572850.0,3560105.0,3970915.0000000005,5657500.0
parallel,Jess,cpu_cycles,5000,27178.2618,4294.8019532015915,15.802342271946145,25732.5,35605.05,39713.130000000005,56578.0
secure,Marcus,duration_ns,5000,2955444.26,568917.9778247044,19.249829391967772,2804450.0,4089425.0,4716008.000000005,6518400.0
secure,Marcus,cpu_cycles,5000,29587.2302,5732.445636079079,19.374728885838994,28057.5,40993.650000000016,47372.500000000015,66428.0
secure,Trey,duration_ns,5000,2942949.98,563648.8470568864,19.15251196545605,2794500.0,4093875.0000000005,4698030.000000001,7449300.0
secure,Trey,cpu_cycles,5000,29453.6348,5657.333893238481,19.207591632250704,27958.0,40985.25,47014.54000000001,74497.0
secure,Will,duration_ns,5000,2934187.12,554308.800965194,18.891392344643446,2788550.0,4048075.0000000005,4688825.000000001,7975100.0
secure,Will,cpu_cycles,5000,29363.5926,5557.112473617402,18.925179045078437,27903.5,40520.850000000006,46918.720000000016,79754.0
secure,George,duration_ns,5000,2941410.18,581012.0193797202,19.752839074614208,2774400.0,4118795.000000001,4747560.000000001,7758600.0
secure,George,cpu_cycles,5000,29437.1056,5827.993068689288,19.798118564650213,27760.0,41277.75,47479.610000000015,77592.0
secure,Jess,duration_ns,5000,2922373.26,549717.9885872097,18.810669948000065,2768650.0,4055855.0,4572843.000000001,7280700.0
secure,Jess,cpu_cycles,5000,29252.6152,5562.067200730143,19.013914355015146,27702.0,40665.25,45839.280000000006,86675.0
